899193,Powerful,73
226158,Powerful,82
829519,Powerful,94
161316,Powerful,19
439391,Powerful,26
840425,Powerful,72
723619,Powerful,61
517460,Powerful,56
313941,Powerful,49
620475,Powerful,72
561144,Stealth,96
266304,Stealth,62
164696,Stealth,27
862320,Stealth,93
255204,Stealth,96
879222,Stealth,98
790007,Stealth,25
795696,Stealth,78
152846,Stealth,11
629198,Stealth,1
259224,Cloak,50
533761,Cloak,90
570547,Cloak,28
487551,Cloak,7
907294,Cloak,56
297885,Cloak,24
793010,Cloak,77
713154,Cloak,17
771335,Cloak,25
251204,Cloak,43
181771,Powerful,54
231791,Stealth,46
860659,Stealth,97
765349,Cloak,93
691839,Cloak,73
290622,Stealth,70
982306,Powerful,4
738144,Powerful,44
604997,Powerful,28
786338,Cloak,96
747278,Stealth,90
578706,Stealth,37
631984,Cloak,87
182865,Stealth,64
895423,Stealth,94
464654,Powerful,78
706499,Stealth,13
205312,Stealth,35
556637,Cloak,48
213154,Powerful,42
